Question,Evidence,Score
,,
,,
Total Score,,66
Video,Github Readme has a video attached to it. https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
,,
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",https://github.com/jaymodi98/Sync-Ends/graphs/contributors,3
Number of commits,Minimum 240 commits were made,3
Number of commits: by different people,https://github.com/jaymodi98/Sync-Ends/graphs/contributors,3
Issues reports: there are many,"0 open, 32 closed",3
,,
Issues are being closed,32 closed,3
,,
DOI badge: exists,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
"Docs: doco generated, format not ugly",Not ugly,3
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
Docs: what: point descriptions of each class/function (in isolation),Mostly no,0
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",Youtube video attached https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
,,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,3
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.","Yes, video is hosted on repo",3
,,
Use of version control tools,"Yes, Github is used",3
Use of style checkers,"Yes, Flake8 is used",3
Use of code formatters.,No,0
,,
Use of syntax checkers.,"Yes, Flake8 is used",3
,,
Use of code coverage: ,Yes,3
Other automated analysis tools,No,0
Test cases exist,"Yes, it exists",3
,https://github.com/jaymodi98/Sync-Ends/blob/master/test/test_main.py,
Test cases are routinely executed,,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,Yes,3
,https://github.com/jaymodi98/Sync-Ends/blob/master/CONTRIBUTING.md,
Issues are discussed before they are closed,Not able to find on repo,0
,,
Chat channel: exists,Not able to find on repo,0
,,
Test cases: a large proportion of the issues related to handling failing cases.,,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,Yes,3
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",Yes,3
,https://github.com/jaymodi98/Sync-Ends/blob/master/requirements.txt,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",Yes,3
Evidence that the members of the team are working across multiple places in the code base,Yes,3
,https://github.com/jaymodi98/Sync-Ends/commits/master,
Short release cycles,Yes,3
,https://github.com/jaymodi98/Sync-Ends/releases,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,Yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
Does your website and documentation clearly describe the type of user who should use your software?,Yes,yes
,https://github.com/jaymodi98/Sync-Ends/blob/master/README.md,
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?,No evidence on that doc,No
Question 2.1: Is the name of your project/software unique?*,Somewhat yes,Yes
Question 2.2: Is your project/software name free from trademark violations?*, No https://tmsearch.uspto.gov/bin/showfield?f=doc&state=4809:ek59ep.3.1,No
Question 3.1: Is your software available as a package that can be deployed without building it?,No,No
,,
Question 3.2: Is your software available for free?*,"Yes, it is open source",Yes
