Question,"Score
zero (none), one (a litte), two (somewhat), three (a lot).",Evidence
Total Score,58,
Video,3,GH readme: https://github.com/deekay2310/calorieApp_server/blob/main/README.md
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",3,https://github.com/deekay2310/calorieApp_server/graphs/contributors
Number of commits,3,Alteast 287 commits were made
Number of commits: by different people,3,https://github.com/atharva1996/calorieApp_server/compare/main...deekay2310:calorieApp_server:main
Issues reports: there are many,3,"4 open, 12 closed: https://github.com/deekay2310/calorieApp_server/issues"
Issues are being closed,3,12 closed: https://github.com/deekay2310/calorieApp_server/issues
DOI badge: exists,3,https://github.com/deekay2310/calorieApp_server/blob/main/README.md
"Docs: doco generated, format not ugly",3,"Not ugly
https://github.com/deekay2310/calorieApp_server"
Docs: what: point descriptions of each class/function (in isolation),1,https://github.com/deekay2310/calorieApp_server/blob/main/README.md : not in isolation
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,GH readme youtube video: https://github.com/deekay2310/calorieApp_server/blob/main/README.md
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,GH readme youtube video: https://github.com/deekay2310/calorieApp_server/blob/main/README.md
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",2,Video is not hosted on repo rather on a separate link
Use of version control tools,3,Project hosted on github
Use of style checkers,1,"https://github.com/deekay2310/calorieApp_server/blob/main/.github/workflows/style_checker.yml  https://github.com/deekay2310/calorieApp_server/actions
Added file but no runs"
Use of code formatters.,1,"https://github.com/deekay2310/calorieApp_server/blob/main/.github/workflows/code_formatter.yml
https://github.com/deekay2310/calorieApp_server/actions

Added file but no runs"
Use of syntax checkers.,1,"https://github.com/deekay2310/calorieApp_server/blob/main/.github/workflows/syntax_checker.yml
https://github.com/deekay2310/calorieApp_server/actions

Added file but no runs"
Use of code coverage:,1,"https://github.com/deekay2310/calorieApp_server/blob/main/.github/workflows/code_cov.yml
https://github.com/deekay2310/calorieApp_server/actions

Added file but no runs. Only 6 lines checked in repo."
Other automated analysis tools,1,Some linting is there
Test cases exist,1,"There are not dozens of tests atleast
Test file: all tests commented
https://github.com/deekay2310/calorieApp_server/blob/main/tests/test_module.py"
Test cases are routinely executed,1,"travis-yml for github actions.
most test files not being executed
https://github.com/deekay2310/calorieApp_server/blob/main/.travis.yml"
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/deekay2310/calorieApp_server/blob/main/CONTRIBUTING.md provided
Issues are discussed before they are closed,2,"Issues not discussed on github
https://github.com/deekay2310/calorieApp_server/discussions"
Chat channel: exists,0,No link provided
Test cases: a large proportion of the issues related to handling failing cases.,0,GH: no issues opened for failed issues
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,"Yes, no access control and open-source"
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",2,"Yes 
https://github.com/deekay2310/calorieApp_server/commits/main/requirements.txt"
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",0,No evidence
Evidence that the members of the team are working across multiple places in the code base,3,"https://github.com/deekay2310/calorieApp_server/commits/main
yes"
Short release cycles,3,There are many releases done in the time span. A lot of builds were done
Sustainability Questions,,
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,"https://github.com/deekay2310/calorieApp_server/blob/main/README.md
yes"
Does your website and documentation clearly describe the type of user who should use your software?,yes,https://github.com/deekay2310/calorieApp_server/blob/main/README.md yes
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?,Yes,"https://github.com/deekay2310/calorieApp_server/blob/main/README.md
Video provided"
Question 2.1: Is the name of your project/software unique?*,yes,"Burnout master, burnout bot"
Question 2.2: Is your project/software name free from trademark violations?*,No,no
Question 3.1: Is your software available as a package that can be deployed without building it?,No,No
Question 3.2: Is your software available for free?*,Yes,Yes it is open source
