Question,"Score: zero (none), one (a litte), two (somewhat), three (a lot).",Evidence
Video,3,"GH readme, https://github.com/kingan1/application-tracking-system/blob/main/readme.md"
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",2,"GH commit history, commits made by most members but slightly uneven"
Number of commits: exact chaiye kya,3,Alteast 179 commits were made
Number of commits: by different people,3,Contributors to kingan1/application-tracking-system (github.com)
Issues reports: there are many,3,"Issues á kingan1/application-tracking-system (github.com) -   10 open, 24 closed"
Issues are being closed,3,Issues á kingan1/application-tracking-system (github.com)  - 24 closed
DOI badge: exists,3,GH Readme
"Docs: doco generated, format not ugly",3,"GH Readme, not ugly"
Docs: what: point descriptions of each class/function (in isolation),3,Clearly explained in GH Readme through screenshots
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,Clearly explained in GH Readme through screenshots
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,GH Readme somewhat sells the product
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,Animated video exists to convince others
Use of version control tools,3,Project hosted on github
Use of style checkers,0,no evidence
Use of code formatters.,3,"Yes, available in workflows"
Use of syntax checkers.,0,None
Use of code coverage,2,"74% code coverage, mentioned in badge"
Other automated analysis tools,3,super-linter is used
Test cases exist,3,separate test modules for frontend and backend
test scheduled?,0,no evidence
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,"Yes, provided in repo, https://github.com/kingan1/application-tracking-system/blob/main/Contributing.md"
Issues are discussed before they are closed,2,Some issues discussed before closing
Chat channel: exists,0,No link provided
Test cases: a large proportion of the issues related to handling failing cases.,2,Many issues opened for bugs
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,"Yes, setup config files included"
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,"Yes, setup config files included"
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,"Yes, setup config files included"
Evidence that the members of the team are working across multiple places in the code base,3,"Yes, commits by everyone "
Short release cycles,3,"Yes, multiple releases"
"Does your website and documentation provide a clear, high-level overview of your software?",3,"Yes, in readme"
Does your website and documentation clearly describe the type of user who should use your software?,3,"Yes, clearly targeted for job applicants"
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others? ,3,Animated video provided
Question 2.1: Is the name of your project/software unique?*,Y,"Yes, J-tracker"
Question 2.2: Is your project/software name free from trademark violations?,y,No trademark violation found
Question 3.1: Is your software available as a package that can be deployed without building it?,y,"Yes, hosted on GH pages"
Question 3.2: Is your software available for free?*,y,Yes it is open source
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",y,Yes it is open source
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",y,Yes it uses github
Question 4.1: Is your documentation clearly available on your website or within your software?,y,"Yes, available on GH readme"
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",y,Detailed explanation available along with setup scripts
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?????????????????",y,Detailed explanation available along with setup scripts
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",y,Yes
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,y,Troubleshooting mentioned for setup script failure
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",n,No API
Question 4.7: Do you store your documentation under revision control with your source code?,y,"Yes, under releases"
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",y,"Yes, release numbers and data mentioned"
Question 5.1: Does your software describe how a user can get help with using your software?,n,No
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",n,No support
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?,Y,Yes
Question 5.4: Are e-mails to your support e-mail address received by more than one person?,n,Only one personal email is mentioned
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?,y,"Yes, steps for submitting bug reports given"
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests? ",y,Publicly visible
Question 6.1: Is your software’s architecture and design modular?,y,Project structure and Modularity is decent
Question 6.2: Does your software use an accepted coding standard or convention?,y,Linting and some project structure is present
"Question 7.1: Does your software allow data to be imported and exported using open data formats? *e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",y,There are csv files to import data
"Question 7.2: Does your software allow communications using open communications protocols? *e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",y,Rest APIs are being used in the project for communication from backend to frontend and vice versa
"Question 8.1: Is your software cross-platform compatible? *e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",y,Software is available as a web application
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?,y,yes
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,n,No documentation regarding this
Question 10.1: Is your source code stored in a repository under revision control?,y,Github
Question 10.2: Is each source code release a snapshot of the repository?,y,"Yes, source code zip files https://github.com/kingan1/application-tracking-system/releases"
Question 10.3: Are releases tagged in the repository?,y,Release v1.2 á kingan1/application-tracking-system (github.com)
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully) *",n,no evidence
Question 10.5: Do you back-up your repository?,n,No evidence
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?,y,"Yes, mentioned in readme"
"Question 11.2: Can you build, or package, your software using an automated tool? *e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)?",n,No evidence
Question 11.3: Do you provide publicly-available instructions for deploying your software?,n,There are no docs to how to deploy the repository
Question 11.4: Does your documentation list all third-party dependencies?,y,There is a requirements file https://github.com/kingan1/application-tracking-system/blob/main/requirements.txt
Question 11.5: Does your documentation list the version number for all third-party dependencies?,y,The requirements file lists all the version numbers
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",n,no
"Question 11.7: Can you download dependencies using a dependency management tool or package manager? *e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",y,Yes PIP is used
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,y,"Yes, pytest in workflows"
Question 12.1: Do you have an automated test suite for your software?,y,"Yes, in workflows"
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,n,No
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",n,"Yes, CI/CD used for frontend in workflows"
Question 12.4: Are your test results publicly visible?,n,No
Question 12.5: Are all manually-run tests documented?,n,No evidence
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software? * e.g. release announcements, publications, workshops, conference presentations",n,No such resources
Question 13.2: Does your website state how many projects and users are associated with your project?,y,Yes: Names of all contributors are shown in readme
Question 13.3: Do you provide success stories on your website?,n,No evidence of success stories
Question 13.4: Do you list your important partners and collaborators on your website?,y,Yes collaborators are mentioned
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?,n,No evidence
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,n,"NA, no evidence of third party publications"
Question 13.7: Can users subscribe to notifications to changes to your source code repository?,y,Github by default allows subscriptions
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",n,no evidence
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",y,application-tracking-system/Contributing.md at main á kingan1/application-tracking-system (github.com)
Question 14.2: Do you have a contributions policy?,y,application-tracking-system/Contributing.md at main á kingan1/application-tracking-system (github.com)
Question 14.3: Is your contributions' policy publicly available?,y,application-tracking-system/Contributing.md at main á kingan1/application-tracking-system (github.com)
Question 14.4: Do contributors keep the copyright/IP of their contributions,n,No evidence
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,n,No evidence
Question 15.2: Does each of your source code files include a copyright statement???,n,No
Question 15.3: Does your website and documentation clearly state the licence of your software?,y,"Yes, MIT License, https://github.com/kingan1/application-tracking-system/blob/main/LICENSE"
Question 15.4: Is your software released under an open source licence?,y,"Yes, MIT License, https://github.com/kingan1/application-tracking-system/blob/main/LICENSE"
Question 15.5: Is your software released under an OSI-approved open-source licence?,y,"yes, https://github.com/kingan1/application-tracking-system/blob/main/LICENSE"
Question 15.6: Does each of your source code files include a licence header,n,No
Question 15.7: Do you have a recommended citation for your software?,y,"Yes, mentioned in repository https://github.com/kingan1/application-tracking-system/blob/main/CITATION.md"
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",n,No evidence as such
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",n,Not a funded project
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",n,No such announcements
Total,79,
