Question,"Score ",Evidence
Video,3,"Video is present on readme file  https://github.com/CSC510-Group-25/ClassMateBot"
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",3,"https://github.com/CSC510-Group-25/ClassMateBot/commits/main  There are many commits doen by multiple team member"
Number of commits,3,378 commits on main branch
Number of commits: by different people,3,"https://github.com/CSC510-Group-25/ClassMateBot/graphs/contributors  Mostly even split commits"
Issues reports: there are many,3,"https://github.com/CSC510-Group-25/ClassMateBot/issues  Many issues"
Issues are being closed,3,"https://github.com/CSC510-Group-25/ClassMateBot/issues?q=is%3Aissue+is%3Aclosed+  Closed many issues"
DOI badge: exists,3,https://github.com/CSC510-Group-25/ClassMateBot
"Docs: doco generated, format not ugly",3,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/README.md  Good documentation"
Docs: what: point descriptions of each class/function (in isolation),3,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/README.md#computer-commands  Amazing point descriptions of a lot of commands in the app"
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/README.md  There are 3 videos in total explaining nearly all use cases"
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/README.md  Excellent documentation in my opinion"
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/README.md  There is an animated video. The doc does a good job"
Use of version control tools,3,Repository hosted on github
Use of style checkers,3,Use of vs code and idea which have inbuilt style checkers
Use of code formatters.,2,No evidence. Even though there is a .vscode and .idea folder can’t see a code formatter. Some comments not indented properly
Use of syntax checkers.,3,Use of Vscode and Idea which have python syntax checkers by default
Use of code coverage:,3,"There is a .coveragerc file  https://app.codecov.io/gh/CSC510-Group-25/ClassMateBot"
Other automated analysis tools,3,Profanity helper is present. Not sure if it is for the app or for the repository
Test cases exist,2,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/test/test_bot.py  One monolith test file"
Test cases are routinely executed,3,"https://github.com/CSC510-Group-25/ClassMateBot/actions/workflows/pytest.yml  Tests are run it seems"
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/CSC510-Group-25/ClassMateBot/blob/main/CONTRIBUTING.md
Issues are discussed before they are closed,2,Some what discussed not all discussed
Chat channel: exists,0,Cant determine
Test cases: a large proportion of the issues related to handling failing cases.,0,Cant determine really
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,.vscode and .idea folders
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,.vscode and .idea folders
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,.vscode and .idea folders
Evidence that the members of the team are working across multiple places in the code base,3,Multiple commits by various people on github
Short release cycles,3,"https://github.com/CSC510-Group-25/ClassMateBot/actions  When project was active a lot of builds were run"
"Does your website and documentation provide a clear, high-level overview of your software?",Yes,Good Documentation
Does your website and documentation clearly describe the type of user who should use your software?,Yes,"Yes, it mentions its for students, teachers and TAs  https://github.com/CSC510-Group-25/ClassMateBot"
Do you publish case studies to show how your software has been used by yourself and others?,Yes,"https://github.com/CSC510-Group-25/ClassMateBot  There are 3 videos which showcase use cases. Also various common flows are mentioned in the doc"
Is the name of your project/software unique?*,No,Name doesnt sound very unique to be honest
Is your project/software name free from trademark violations?*,No,ClassMate name is trademarked by many comapanies
Is your software available as a package that can be deployed without building it?,No,Its not available as package in releases section
Is your software available for free?*,Yes,Yes its on github MIT license
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Yes Github
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,Yes Github
Is your documentation clearly available on your website or within your software?,Yes,"Yes its on landing page   https://github.com/CSC510-Group-25/ClassMateBot"
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,There is a video showing demo and some detail steps for some tasks. But there is no quick start guide of any kind
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software",Yes,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/docs/installation.md  Yes good documentation"
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,"https://github.com/CSC510-Group-25/ClassMateBot/blob/main/docs/installation.md  Yes seems like a lot of things are documented"
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,Nothing as such in the repo
